mes_ano;receita_do_mes;despesa_total;lucro_bruto;ds;ano;mes;y;variacao_mensal;despesas_acumulada;lucro_acumulado;margem_de_lucro;alerta_risco
2024-09;52.056,50;12.082,21;39.974,29;2024-09-01;2024;9;39.974,29;0.0;12.082,21;39.974,29;0.7679;risco
2024-10;64.547,00;12.067,73;52.479,27;2024-10-01;2024;10;52.479,27;0.3128;24.149,94;92.453,56;0.813;ok
2024-11;57.634,00;13.761,16;43.872,84;2024-11-01;2024;11;43.872,84;-0.164;37.911,10;136.326,40;0.7612;ok
2024-12;59.566,00;14.655,03;44.910,97;2024-12-01;2024;12;44.910,97;0.0237;52.566,13;181.237,37;0.754;ok
2025-01;55.351,00;13.577,81;41.773,19;2025-01-01;2025;1;41.773,19;-0.0699;66.143,94;223.010,56;0.7547;risco
2025-02;54.901,00;14.508,86;40.392,14;2025-02-01;2025;2;40.392,14;-0.0331;80.652,80;263.402,70;0.7357;risco
